branch,template_row_date,template_column,template_header_physical_interval,physical_date,physical_t,physical_interval,price,price_role,g0_kwh,geff_kwh,adjustment_surcharge_yuan
4-2,2025-02-01,31,5:00-5:10,2025-02-01,31,5:00-5:10,0.3896,realized,539.962483396808,539.962483396808,0.0
4-2,2025-02-01,32,5:10-5:20,2025-02-01,32,5:10-5:20,0.3908,realized,554.2632626701765,554.2632626701765,0.0
4-2,2025-02-01,33,5:20-5:30,2025-02-01,33,5:20-5:30,0.3821,realized,595.8623295309171,595.8623295309171,0.0
4-2,2025-02-01,34,5:30-5:40,2025-02-01,34,5:30-5:40,0.3475,realized,1359.5255198651857,1359.5255198651857,0.0
4-2,2025-02-01,35,5:40-5:50,2025-02-01,35,5:40-5:50,0.5182,realized,477.7008354062045,477.7008354062045,0.0
4-2,2025-02-01,36,5:50-6:00,2025-02-01,36,5:50-6:00,0.8102,realized,0.0,0.0,0.0
4-2,2025-02-01,37,6:00-6:10,2025-02-01,37,6:00-6:10,0.8756,realized,0.0,0.0,0.0
4-2,2025-02-01,38,6:10-6:20,2025-02-01,38,6:10-6:20,0.818,realized,0.0,0.0,0.0
4-2,2025-02-01,39,6:20-6:30,2025-02-01,39,6:20-6:30,0.7708,realized,0.0,0.0,0.0
4-2,2025-02-01,40,6:30-6:40,2025-02-01,40,6:30-6:40,0.7715,realized,0.0,0.0,0.0
4-2,2025-02-01,41,6:40-6:50,2025-02-01,41,6:40-6:50,0.8181,realized,0.0,0.0,0.0
4-2,2025-02-01,42,6:50-7:00,2025-02-01,42,6:50-7:00,0.8678,realized,0.0,0.0,0.0
4-2,2025-02-01,43,7:00-7:10,2025-02-01,43,7:00-7:10,0.864,realized,0.0,0.0,0.0
4-2,2025-02-01,44,7:10-7:20,2025-02-01,44,7:10-7:20,0.8237,realized,0.0,0.0,0.0
4-2,2025-02-01,45,7:20-7:30,2025-02-01,45,7:20-7:30,0.7654,realized,0.0,0.0,0.0
4-2,2025-02-01,46,7:30-7:40,2025-02-01,46,7:30-7:40,0.7258,realized,0.0,0.0,0.0
4-2,2025-02-01,47,7:40-7:50,2025-02-01,47,7:40-7:50,0.8697,realized,0.0,0.0,0.0
4-2,2025-02-01,48,7:50-8:00,2025-02-01,48,7:50-8:00,1.0783,realized,0.0,0.0,0.0
4-2,2025-02-01,49,8:00-8:10,2025-02-01,49,8:00-8:10,1.0448,realized,0.0,0.0,0.0
4-2,2025-02-01,50,8:10-8:20,2025-02-01,50,8:10-8:20,0.9667,realized,0.0,0.0,0.0
4-2,2025-02-01,51,8:20-8:30,2025-02-01,51,8:20-8:30,0.9429,realized,0.0,0.0,0.0
4-2,2025-02-01,52,8:30-8:40,2025-02-01,52,8:30-8:40,0.893,realized,0.0,0.0,0.0
4-2,2025-02-01,53,8:40-8:50,2025-02-01,53,8:40-8:50,0.9266,realized,0.0,0.0,0.0
4-2,2025-02-01,54,8:50-9:00,2025-02-01,54,8:50-9:00,0.9995,realized,0.0,0.0,0.0
4-2,2025-02-01,55,9:00-9:10,2025-02-01,55,9:00-9:10,0.9415,realized,0.0,0.0,0.0
4-2,2025-02-01,56,9:10-9:20,2025-02-01,56,9:10-9:20,0.8825,realized,0.0,0.0,0.0
4-2,2025-02-01,57,9:20-9:30,2025-02-01,57,9:20-9:30,0.8929,realized,0.0,0.0,0.0
4-2,2025-02-01,58,9:30-9:40,2025-02-01,58,9:30-9:40,0.9059,realized,0.0,0.0,0.0
4-2,2025-02-01,59,9:40-9:50,2025-02-01,59,9:40-9:50,0.8581,realized,0.0,0.0,0.0
4-2,2025-02-01,60,9:50-10:00,2025-02-01,60,9:50-10:00,0.8084,realized,0.0,0.0,0.0
4-2,2025-02-01,61,10:00-10:10,2025-02-01,61,10:00-10:10,0.8605,realized,0.0,0.0,0.0
4-2,2025-02-01,62,10:10-10:20,2025-02-01,62,10:10-10:20,0.8292,realized,0.0,0.0,0.0
4-2,2025-02-01,63,10:20-10:30,2025-02-01,63,10:20-10:30,0.7446,realized,0.0,0.0,0.0
4-2,2025-02-01,64,10:30-10:40,2025-02-01,64,10:30-10:40,0.7982,realized,0.0,0.0,0.0
4-2,2025-02-01,65,10:40-10:50,2025-02-01,65,10:40-10:50,0.6917,realized,0.0,0.0,0.0
4-2,2025-02-01,66,10:50-11:00,2025-02-01,66,10:50-11:00,0.438,realized,0.0,0.0,0.0
4-2,2025-02-01,67,11:00-11:10,2025-02-01,67,11:00-11:10,0.3671,realized,0.0,0.0,0.0
4-2,2025-02-01,68,11:10-11:20,2025-02-01,68,11:10-11:20,0.3419,realized,0.0,0.0,0.0
4-2,2025-02-01,69,11:20-11:30,2025-02-01,69,11:20-11:30,0.308,realized,0.0,0.0,0.0
4-2,2025-02-01,70,11:30-11:40,2025-02-01,70,11:30-11:40,0.3563,realized,0.0,0.0,0.0
4-2,2025-02-01,71,11:40-11:50,2025-02-01,71,11:40-11:50,0.3499,realized,0.0,0.0,0.0
4-2,2025-02-01,72,11:50-12:00,2025-02-01,72,11:50-12:00,0.2979,realized,0.0,0.0,0.0
4-2,2025-02-01,73,12:00-12:10,2025-02-01,73,12:00-12:10,0.3528,realized,579.0549339894521,579.0549339894521,0.0
4-2,2025-02-01,74,12:10-12:20,2025-02-01,74,12:10-12:20,0.4214,realized,142.3101000651231,142.3101000651231,0.0
4-2,2025-02-01,75,12:20-12:30,2025-02-01,75,12:20-12:30,0.4077,realized,466.47977995726114,466.47977995726114,0.0
4-2,2025-02-01,76,12:30-12:40,2025-02-01,76,12:30-12:40,0.3359,realized,430.2027902879669,430.2027902879669,0.0
4-2,2025-02-01,77,12:40-12:50,2025-02-01,77,12:40-12:50,0.4541,realized,0.0,0.0,0.0
4-2,2025-02-01,78,12:50-13:00,2025-02-01,78,12:50-13:00,0.6884,realized,0.0,0.0,0.0
4-2,2025-02-01,79,13:00-13:10,2025-02-01,79,13:00-13:10,0.7168,realized,0.0,0.0,0.0
4-2,2025-02-01,80,13:10-13:20,2025-02-01,80,13:10-13:20,0.7194,realized,0.0,0.0,0.0
4-2,2025-02-01,81,13:20-13:30,2025-02-01,81,13:20-13:30,0.7375,realized,0.0,0.0,0.0
4-2,2025-02-01,82,13:30-13:40,2025-02-01,82,13:30-13:40,0.6413,realized,0.0,0.0,0.0
4-2,2025-02-01,83,13:40-13:50,2025-02-01,83,13:40-13:50,0.6761,realized,0.0,0.0,0.0
4-2,2025-02-01,84,13:50-14:00,2025-02-01,84,13:50-14:00,0.8225,realized,0.0,0.0,0.0
4-2,2025-02-01,85,14:00-14:10,2025-02-01,85,14:00-14:10,0.8111,realized,0.0,0.0,0.0
4-2,2025-02-01,86,14:10-14:20,2025-02-01,86,14:10-14:20,0.8061,realized,0.0,0.0,0.0
4-2,2025-02-01,87,14:20-14:30,2025-02-01,87,14:20-14:30,0.8727,realized,0.0,0.0,0.0
4-2,2025-02-01,88,14:30-14:40,2025-02-01,88,14:30-14:40,0.8717,realized,0.0,0.0,0.0
4-2,2025-02-01,89,14:40-14:50,2025-02-01,89,14:40-14:50,0.7054,realized,0.0,0.0,0.0
4-2,2025-02-01,90,14:50-15:00,2025-02-01,90,14:50-15:00,0.5147,realized,0.0,0.0,0.0
4-2,2025-02-01,91,15:00-15:10,2025-02-01,91,15:00-15:10,0.5575,realized,0.0,0.0,0.0
4-2,2025-02-01,92,15:10-15:20,2025-02-01,92,15:10-15:20,0.6606,realized,45.689511667326315,45.689511667326315,0.0
4-2,2025-02-01,93,15:20-15:30,2025-02-01,93,15:20-15:30,0.688,realized,91.5047083350426,91.5047083350426,0.0
4-2,2025-02-01,94,15:30-15:40,2025-02-01,94,15:30-15:40,0.6617,realized,130.67841906494533,130.67841906494533,0.0
4-2,2025-02-01,95,15:40-15:50,2025-02-01,95,15:40-15:50,0.6465,realized,183.36967592005578,183.36967592005578,0.0
4-2,2025-02-01,96,15:50-16:00,2025-02-01,96,15:50-16:00,0.6667,realized,222.61673069839247,222.61673069839247,0.0
4-2,2025-02-01,97,16:00-16:10,2025-02-01,97,16:00-16:10,0.6956,realized,274.9475182625155,274.9475182625155,0.0
4-2,2025-02-01,98,16:10-16:20,2025-02-01,98,16:10-16:20,0.7032,realized,322.0943413283352,322.0943413283352,0.0
4-2,2025-02-01,99,16:20-16:30,2025-02-01,99,16:20-16:30,0.7041,realized,388.1419706892176,388.1419706892176,0.0
4-2,2025-02-01,100,16:30-16:40,2025-02-01,100,16:30-16:40,0.7357,realized,434.3626642395956,434.3626642395956,0.0
4-2,2025-02-01,101,16:40-16:50,2025-02-01,101,16:40-16:50,0.7466,realized,432.57095050566204,432.57095050566204,0.0
4-2,2025-02-01,102,16:50-17:00,2025-02-01,102,16:50-17:00,0.7383,realized,403.31332338590687,403.31332338590687,0.0
4-2,2025-02-01,103,17:00-17:10,2025-02-01,103,17:00-17:10,0.7642,realized,435.77337900639236,435.77337900639236,0.0
4-2,2025-02-01,104,17:10-17:20,2025-02-01,104,17:10-17:20,0.787,realized,470.43401163639663,470.43401163639663,0.0
4-2,2025-02-01,105,17:20-17:30,2025-02-01,105,17:20-17:30,0.775,realized,488.27573032924084,488.27573032924084,0.0
4-2,2025-02-01,106,17:30-17:40,2025-02-01,106,17:30-17:40,0.7557,realized,462.5325884113952,462.5325884113952,0.0
4-2,2025-02-01,107,17:40-17:50,2025-02-01,107,17:40-17:50,0.8692,realized,442.2364037978946,442.2364037978946,0.0
4-2,2025-02-01,108,17:50-18:00,2025-02-01,108,17:50-18:00,1.0662,realized,0.0,0.0,0.0
4-2,2025-02-01,109,18:00-18:10,2025-02-01,109,18:00-18:10,1.1465,realized,0.0,0.0,0.0
4-2,2025-02-01,110,18:10-18:20,2025-02-01,110,18:10-18:20,1.1653,realized,0.0,0.0,0.0
4-2,2025-02-01,111,18:20-18:30,2025-02-01,111,18:20-18:30,1.1644,realized,0.0,0.0,0.0
4-2,2025-02-01,112,18:30-18:40,2025-02-01,112,18:30-18:40,1.1265,realized,245.27307136918293,245.27307136918293,0.0
4-2,2025-02-01,113,18:40-18:50,2025-02-01,113,18:40-18:50,1.1134,realized,0.0,0.0,0.0
4-2,2025-02-01,114,18:50-19:00,2025-02-01,114,18:50-19:00,1.1312,realized,0.0,0.0,0.0
4-2,2025-02-01,115,19:00-19:10,2025-02-01,115,19:00-19:10,1.1292,realized,0.0,0.0,0.0
4-2,2025-02-01,116,19:10-19:20,2025-02-01,116,19:10-19:20,1.133,realized,0.0,0.0,0.0
4-2,2025-02-01,117,19:20-19:30,2025-02-01,117,19:20-19:30,1.1382,realized,0.0,0.0,0.0
4-2,2025-02-01,118,19:30-19:40,2025-02-01,118,19:30-19:40,1.1103,realized,0.0,0.0,0.0
4-2,2025-02-01,119,19:40-19:50,2025-02-01,119,19:40-19:50,1.0929,realized,0.0,0.0,0.0
4-2,2025-02-01,120,19:50-20:00,2025-02-01,120,19:50-20:00,1.1041,realized,0.0,0.0,0.0
4-2,2025-02-01,121,20:00-20:10,2025-02-01,121,20:00-20:10,1.1204,realized,0.0,0.0,0.0
4-2,2025-02-01,122,20:10-20:20,2025-02-01,122,20:10-20:20,1.1344,realized,0.0,0.0,0.0
4-2,2025-02-01,123,20:20-20:30,2025-02-01,123,20:20-20:30,1.1597,realized,0.0,0.0,0.0
4-2,2025-02-01,124,20:30-20:40,2025-02-01,124,20:30-20:40,1.1766,realized,0.0,0.0,0.0
4-2,2025-02-01,125,20:40-20:50,2025-02-01,125,20:40-20:50,0.9864,realized,0.0,0.0,0.0
4-2,2025-02-01,126,20:50-21:00,2025-02-01,126,20:50-21:00,0.724,realized,448.9045058233408,448.9045058233408,0.0
4-2,2025-02-01,127,21:00-21:10,2025-02-01,127,21:00-21:10,0.7481,realized,466.41784701555673,466.41784701555673,0.0
4-2,2025-02-01,128,21:10-21:20,2025-02-01,128,21:10-21:20,0.8129,realized,483.59068026006116,483.59068026006116,0.0
4-2,2025-02-01,129,21:20-21:30,2025-02-01,129,21:20-21:30,0.8144,realized,502.21797093378916,502.21797093378916,0.0
4-2,2025-02-01,130,21:30-21:40,2025-02-01,130,21:30-21:40,0.8497,realized,406.67545525108613,406.67545525108613,0.0
4-2,2025-02-01,131,21:40-21:50,2025-02-01,131,21:40-21:50,0.6531,realized,427.84348427289075,427.84348427289075,0.0
4-2,2025-02-01,132,21:50-22:00,2025-02-01,132,21:50-22:00,0.3205,realized,1197.7040896938765,1197.7040896938765,0.0
4-2,2025-02-01,133,22:00-22:10,2025-02-01,133,22:00-22:10,0.2542,realized,1192.6431993183596,1192.6431993183596,0.0
4-2,2025-02-01,134,22:10-22:20,2025-02-01,134,22:10-22:20,0.273,realized,705.31601271388,705.31601271388,0.0
4-2,2025-02-01,135,22:20-22:30,2025-02-01,135,22:20-22:30,0.2774,realized,1182.5685707839282,1182.5685707839282,0.0
4-2,2025-02-01,136,22:30-22:40,2025-02-01,136,22:30-22:40,0.3501,realized,1202.921960240979,1202.921960240979,0.0
4-2,2025-02-01,137,22:40-22:50,2025-02-01,137,22:40-22:50,0.378,realized,1198.6302685369628,1198.6302685369628,0.0
4-2,2025-02-01,138,22:50-23:00,2025-02-01,138,22:50-23:00,0.3465,realized,1158.3983311555512,1158.3983311555512,0.0
4-2,2025-02-01,139,23:00-23:10,2025-02-01,139,23:00-23:10,0.3534,realized,1197.6011568736978,1197.6011568736978,0.0
4-2,2025-02-01,140,23:10-23:20,2025-02-01,140,23:10-23:20,0.3497,realized,1203.0866278936862,1203.0866278936862,0.0
4-2,2025-02-01,141,23:20-23:30,2025-02-01,141,23:20-23:30,0.3245,realized,1185.8981082843998,1185.8981082843998,0.0
4-2,2025-02-01,142,23:30-23:40,2025-02-01,142,23:30-23:40,0.3293,realized,1186.023748094718,1186.023748094718,0.0
4-2,2025-02-01,143,23:40-23:50,2025-02-01,143,23:40-23:50,0.3592,realized,1215.0448171486123,1215.0448171486123,0.0
4-2,2025-02-01,144,23:50-0:00+1,2025-02-01,144,23:50-00:00+1,0.4038,realized,1113.341068630376,1113.341068630376,0.0
4-2,2025-02-01,145,0:00-0:10+1,2025-02-02,1,0:00-0:10,0.4523,realized,595.6184070102954,595.6184070102954,0.0
4-2,2025-02-02,2,0:10-0:20,2025-02-02,2,0:10-0:20,0.4559,realized,594.2859081606877,594.2859081606877,0.0
4-2,2025-02-02,3,0:20-0:30,2025-02-02,3,0:20-0:30,0.4264,realized,606.3055302478355,606.3055302478355,0.0
4-2,2025-02-02,4,0:30-0:40,2025-02-02,4,0:30-0:40,0.4251,realized,642.367608459531,642.367608459531,0.0
4-2,2025-02-02,5,0:40-0:50,2025-02-02,5,0:40-0:50,0.4292,realized,654.7902984688753,654.7902984688753,0.0
4-2,2025-02-02,6,0:50-1:00,2025-02-02,6,0:50-1:00,0.4478,realized,642.5573821364574,642.5573821364574,0.0
4-2,2025-02-02,7,1:00-1:10,2025-02-02,7,1:00-1:10,0.5032,realized,662.1101348633658,662.1101348633658,0.0
4-2,2025-02-02,8,1:10-1:20,2025-02-02,8,1:10-1:20,0.4672,realized,645.3826508318562,645.3826508318562,0.0
4-2,2025-02-02,9,1:20-1:30,2025-02-02,9,1:20-1:30,0.389,realized,624.6261326210753,624.6261326210753,0.0
4-2,2025-02-02,10,1:30-1:40,2025-02-02,10,1:30-1:40,0.4462,realized,629.6946990399639,629.6946990399639,0.0
4-2,2025-02-02,11,1:40-1:50,2025-02-02,11,1:40-1:50,0.4778,realized,636.3824389297048,636.3824389297048,0.0
4-2,2025-02-02,12,1:50-2:00,2025-02-02,12,1:50-2:00,0.4332,realized,668.3327391530173,668.3327391530173,0.0
4-2,2025-02-02,13,2:00-2:10,2025-02-02,13,2:00-2:10,0.4262,realized,628.9678585620967,628.9678585620967,0.0
4-2,2025-02-02,14,2:10-2:20,2025-02-02,14,2:10-2:20,0.4412,realized,615.3527844692844,615.3527844692844,0.0
4-2,2025-02-02,15,2:20-2:30,2025-02-02,15,2:20-2:30,0.4418,realized,650.1262120175925,650.1262120175925,0.0
4-2,2025-02-02,16,2:30-2:40,2025-02-02,16,2:30-2:40,0.4245,realized,638.3198292593597,638.3198292593597,0.0
4-2,2025-02-02,17,2:40-2:50,2025-02-02,17,2:40-2:50,0.4533,realized,671.0377223487947,671.0377223487947,0.0
4-2,2025-02-02,18,2:50-3:00,2025-02-02,18,2:50-3:00,0.4922,realized,715.2991057918057,715.2991057918057,0.0
4-2,2025-02-02,19,3:00-3:10,2025-02-02,19,3:00-3:10,0.4433,realized,670.5623520851914,670.5623520851914,0.0
4-2,2025-02-02,20,3:10-3:20,2025-02-02,20,3:10-3:20,0.4219,realized,650.7151805661276,650.7151805661276,0.0
4-2,2025-02-02,21,3:20-3:30,2025-02-02,21,3:20-3:30,0.4714,realized,700.0750545410427,700.0750545410427,0.0
4-2,2025-02-02,22,3:30-3:40,2025-02-02,22,3:30-3:40,0.5121,realized,678.1185374928897,678.1185374928897,0.0
4-2,2025-02-02,23,3:40-3:50,2025-02-02,23,3:40-3:50,0.4836,realized,655.1586272630693,655.1586272630693,0.0
4-2,2025-02-02,24,3:50-4:00,2025-02-02,24,3:50-4:00,0.4376,realized,673.8589017512912,673.8589017512912,0.0
4-2,2025-02-02,25,4:00-4:10,2025-02-02,25,4:00-4:10,0.4776,realized,681.0672960538411,681.0672960538411,0.0
4-2,2025-02-02,26,4:10-4:20,2025-02-02,26,4:10-4:20,0.4964,realized,695.7759394281017,695.7759394281017,0.0
4-2,2025-02-02,27,4:20-4:30,2025-02-02,27,4:20-4:30,0.4723,realized,709.7526095360123,709.7526095360123,0.0
4-2,2025-02-02,28,4:30-4:40,2025-02-02,28,4:30-4:40,0.4865,realized,717.4918508864304,717.4918508864304,0.0
4-2,2025-02-02,29,4:40-4:50,2025-02-02,29,4:40-4:50,0.4808,realized,682.7089647270734,682.7089647270734,0.0
4-2,2025-02-02,30,4:50-5:00,2025-02-02,30,4:50-5:00,0.4531,realized,643.3573657058901,643.3573657058901,0.0
4-2,2025-02-02,31,5:00-5:10,2025-02-02,31,5:00-5:10,0.4678,realized,682.3738477615863,682.3738477615863,0.0
4-2,2025-02-02,32,5:10-5:20,2025-02-02,32,5:10-5:20,0.4823,realized,698.068759419647,698.068759419647,0.0
4-2,2025-02-02,33,5:20-5:30,2025-02-02,33,5:20-5:30,0.4391,realized,721.3093222777295,721.3093222777295,0.0
4-2,2025-02-02,34,5:30-5:40,2025-02-02,34,5:30-5:40,0.3697,realized,905.8535472488766,905.8535472488766,0.0
4-2,2025-02-02,35,5:40-5:50,2025-02-02,35,5:40-5:50,0.5849,realized,782.0997076035914,782.0997076035914,0.0
4-2,2025-02-02,36,5:50-6:00,2025-02-02,36,5:50-6:00,0.9636,realized,865.6483479782535,865.6483479782535,0.0
4-2,2025-02-02,37,6:00-6:10,2025-02-02,37,6:00-6:10,1.0488,realized,859.7629199315123,859.7629199315123,0.0
4-2,2025-02-02,38,6:10-6:20,2025-02-02,38,6:10-6:20,1.0385,realized,874.607034905545,874.607034905545,0.0
4-2,2025-02-02,39,6:20-6:30,2025-02-02,39,6:20-6:30,1.0714,realized,865.3744074244893,865.3744074244893,0.0
4-2,2025-02-02,40,6:30-6:40,2025-02-02,40,6:30-6:40,1.0749,realized,876.1414271969599,876.1414271969599,0.0
4-2,2025-02-02,41,6:40-6:50,2025-02-02,41,6:40-6:50,1.0446,realized,861.9594528685091,861.9594528685091,0.0
4-2,2025-02-02,42,6:50-7:00,2025-02-02,42,6:50-7:00,0.9869,realized,800.4788950309168,800.4788950309168,0.0
4-2,2025-02-02,43,7:00-7:10,2025-02-02,43,7:00-7:10,0.9164,realized,783.7036955122686,783.7036955122686,0.0
4-2,2025-02-02,44,7:10-7:20,2025-02-02,44,7:10-7:20,0.9117,realized,758.8761713897746,758.8761713897746,0.0
4-2,2025-02-02,45,7:20-7:30,2025-02-02,45,7:20-7:30,0.9168,realized,728.2491078177493,728.2491078177493,0.0
4-2,2025-02-02,46,7:30-7:40,2025-02-02,46,7:30-7:40,0.8379,realized,685.0401843794889,685.0401843794889,0.0
4-2,2025-02-02,47,7:40-7:50,2025-02-02,47,7:40-7:50,1.0094,realized,733.5752121191376,733.5752121191376,0.0
4-2,2025-02-02,48,7:50-8:00,2025-02-02,48,7:50-8:00,1.3473,realized,120.3902211653043,120.3902211653043,0.0
4-2,2025-02-02,49,8:00-8:10,2025-02-02,49,8:00-8:10,1.3998,realized,79.9908752106927,79.9908752106927,0.0
4-2,2025-02-02,50,8:10-8:20,2025-02-02,50,8:10-8:20,1.3427,realized,25.85776400948464,25.85776400948464,0.0
4-2,2025-02-02,51,8:20-8:30,2025-02-02,51,8:20-8:30,1.3172,realized,0.0,0.0,0.0
4-2,2025-02-02,52,8:30-8:40,2025-02-02,52,8:30-8:40,1.2806,realized,0.0,0.0,0.0
4-2,2025-02-02,53,8:40-8:50,2025-02-02,53,8:40-8:50,1.2438,realized,0.0,0.0,0.0
4-2,2025-02-02,54,8:50-9:00,2025-02-02,54,8:50-9:00,1.2256,realized,0.0,0.0,0.0
4-2,2025-02-02,55,9:00-9:10,2025-02-02,55,9:00-9:10,1.2306,realized,0.0,0.0,0.0
4-2,2025-02-02,56,9:10-9:20,2025-02-02,56,9:10-9:20,1.2355,realized,17.522366564303695,17.522366564303695,0.0
4-2,2025-02-02,57,9:20-9:30,2025-02-02,57,9:20-9:30,1.2013,realized,365.5187881933133,365.5187881933133,0.0
4-2,2025-02-02,58,9:30-9:40,2025-02-02,58,9:30-9:40,1.1141,realized,412.84401652401084,412.84401652401084,0.0
4-2,2025-02-02,59,9:40-9:50,2025-02-02,59,9:40-9:50,1.0893,realized,0.0,0.0,0.0
4-2,2025-02-02,60,9:50-10:00,2025-02-02,60,9:50-10:00,1.1386,realized,0.0,0.0,0.0
4-2,2025-02-02,61,10:00-10:10,2025-02-02,61,10:00-10:10,1.1539,realized,0.0,0.0,0.0
4-2,2025-02-02,62,10:10-10:20,2025-02-02,62,10:10-10:20,1.097,realized,0.0,0.0,0.0
4-2,2025-02-02,63,10:20-10:30,2025-02-02,63,10:20-10:30,1.0376,realized,0.0,0.0,0.0
4-2,2025-02-02,64,10:30-10:40,2025-02-02,64,10:30-10:40,1.0533,realized,0.0,0.0,0.0
4-2,2025-02-02,65,10:40-10:50,2025-02-02,65,10:40-10:50,0.9148,realized,177.9880335619988,177.9880335619988,0.0
4-2,2025-02-02,66,10:50-11:00,2025-02-02,66,10:50-11:00,0.6806,realized,955.6337452353813,955.6337452353813,0.0
4-2,2025-02-02,67,11:00-11:10,2025-02-02,67,11:00-11:10,0.6578,realized,954.9716348773278,954.9716348773278,0.0
4-2,2025-02-02,68,11:10-11:20,2025-02-02,68,11:10-11:20,0.6943,realized,949.0156806729032,949.0156806729032,0.0
4-2,2025-02-02,69,11:20-11:30,2025-02-02,69,11:20-11:30,0.6727,realized,904.6945238518514,904.6945238518514,0.0
4-2,2025-02-02,70,11:30-11:40,2025-02-02,70,11:30-11:40,0.6265,realized,854.8088155790114,854.8088155790114,0.0
4-2,2025-02-02,71,11:40-11:50,2025-02-02,71,11:40-11:50,0.577,realized,847.8161331859204,847.8161331859204,0.0
4-2,2025-02-02,72,11:50-12:00,2025-02-02,72,11:50-12:00,0.5556,realized,908.3972367988223,908.3972367988223,0.0
4-2,2025-02-02,73,12:00-12:10,2025-02-02,73,12:00-12:10,0.5901,realized,906.4557127413435,906.4557127413435,0.0
4-2,2025-02-02,74,12:10-12:20,2025-02-02,74,12:10-12:20,0.6344,realized,935.8621574321257,935.8621574321257,0.0
4-2,2025-02-02,75,12:20-12:30,2025-02-02,75,12:20-12:30,0.6108,realized,899.7852787569944,899.7852787569944,0.0
4-2,2025-02-02,76,12:30-12:40,2025-02-02,76,12:30-12:40,0.519,realized,845.3706688550614,845.3706688550614,0.0
